,mushroom_id,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
0,1,poisonous,convex,smooth,brown,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
1,2,edible,convex,smooth,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
2,3,edible,bell,smooth,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
3,4,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
4,5,edible,convex,smooth,gray,no,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
5,6,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
6,7,edible,bell,smooth,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
7,8,edible,bell,scaly,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
8,9,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,grasses
9,10,edible,bell,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
10,11,edible,convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
11,12,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
12,13,edible,bell,smooth,yellow,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
13,14,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
14,15,edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
15,16,edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
16,17,edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
17,18,poisonous,convex,smooth,brown,yes,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
18,19,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
19,20,poisonous,convex,smooth,brown,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
20,21,edible,bell,smooth,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
21,22,poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
22,23,edible,bell,scaly,yellow,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
23,24,edible,bell,scaly,white,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
24,25,edible,bell,smooth,white,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
25,26,poisonous,flat,smooth,white,yes,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
26,27,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
27,28,edible,convex,scaly,white,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
28,29,edible,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
29,30,edible,convex,smooth,yellow,yes,almond,free,crowded,narrow,brown,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
30,31,edible,bell,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
31,32,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
32,33,edible,convex,scaly,yellow,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
33,34,edible,convex,scaly,brown,yes,anise,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
34,35,edible,bell,scaly,yellow,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
35,36,edible,convex,fibrous,yellow,yes,anise,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
36,37,edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,urban
37,38,poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
38,39,edible,convex,fibrous,yellow,yes,almond,free,crowded,narrow,pink,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
39,40,edible,bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
40,41,edible,bell,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
41,42,edible,convex,scaly,yellow,yes,anise,free,close,broad,brown,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
42,43,edible,convex,fibrous,brown,no,none,free,close,narrow,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
43,44,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
44,45,edible,convex,smooth,yellow,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
45,46,edible,convex,scaly,white,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
46,47,edible,convex,scaly,yellow,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
47,48,edible,convex,smooth,white,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
48,49,edible,convex,scaly,yellow,yes,anise,free,close,broad,brown,enlarging,smooth,scaly,white,white,white,one,pendant,brown,scattered,paths
49,50,edible,flat,scaly,yellow,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
50,51,edible,convex,scaly,brown,yes,almond,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
51,52,edible,convex,smooth,white,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
52,53,edible,bell,smooth,white,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
53,54,poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
54,55,poisonous,convex,smooth,white,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,urban
55,56,edible,bell,scaly,yellow,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
